id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total doc. freq.>	score<Average pubyear>	score<Predicted clusters count>
xanthan gum	0.1889	-0.0445	3	26	64	25	2014.12	2
xylan	0.3528	0.794	4	78	302	57	2014.49122807018	7
xylanase	-0.0406	0.8836	1	195	1414	314	2014.50318471338	8
xylanases	0.0176	0.7884	1	46	162	31	2015.48387096774	3
xylitol	0.4244	0.4312	4	134	740	156	2014.59615384615	5
xylitol dehydrogenase	0.3032	0.4282	4	39	160	27	2013.37037037037	2
xylooligosaccharides	-0.0454	0.8592	4	60	244	60	2015.36666666667	2
xylose	0.6775	0.179	4	237	1690	321	2014.7476635514	7
xylose fermentation	0.7298	0.4911	4	74	380	78	2013.96153846154	2
xylose isomerase	0.9492	0.3745	4	36	176	34	2014.79411764706	3
xylose reductase	0.3433	0.5365	4	46	224	36	2013.58333333333	1
xylose utilization	0.5784	0.0919	3	39	110	28	2015	4
yarrowia lipolytica	-0.1264	-0.3772	6	168	924	221	2015.52488687783	5
yeast	0.0375	-0.0208	6	247	1260	288	2014.5625	14
yeast extract	-0.1566	0.0247	1	47	120	33	2014.36363636364	7
yeasts	0.2173	0.143	6	40	90	20	2014.9	4
yield	-0.004	-0.048	3	53	150	34	2014.61764705882	8
zymomonas mobilis	0.4024	0.1317	4	75	290	56	2014.21428571429	1
